iter	Passed	Remaining
0	144	144580
1	149	74633
2	153	51161
3	158	39455
4	161	32164
5	164	27229
6	166	23661
7	169	20980
8	171	18859
9	172	17110
10	174	15699
11	176	14522
12	177	13497
13	179	12612
14	180	11845
15	181	11180
16	183	10602
17	184	10066
18	185	9585
19	186	9152
20	188	8765
21	189	8406
22	190	8077
23	191	7779
24	192	7505
25	193	7252
26	194	7015
27	196	6809
28	197	6607
29	198	6416
30	199	6240
31	200	6077
32	202	5920
33	203	5772
34	204	5632
35	205	5502
36	206	5378
37	207	5259
38	208	5146
39	210	5047
40	211	4945
41	212	4847
42	213	4752
43	214	4662
44	215	4574
45	216	4491
46	217	4413
47	218	4339
48	219	4265
49	220	4194
50	221	4128
51	222	4064
52	224	4004
53	225	3945
54	226	3889
55	227	3838
56	228	3783
57	229	3731
58	230	3680
59	231	3633
60	232	3585
61	233	3539
62	234	3494
63	236	3454
64	237	3412
65	238	3374
66	239	3341
67	240	3297
68	241	3261
69	242	3224
70	243	3188
71	244	3155
72	245	3122
73	246	3088
74	247	3057
75	248	3026
76	250	2999
77	251	2970
78	252	2941
79	253	2915
80	254	2891
81	256	2866
82	257	2840
83	258	2816
84	259	2788
85	260	2764
86	260	2737
87	261	2713
88	262	2690
89	263	2667
90	264	2645
91	265	2623
92	266	2602
93	268	2586
94	269	2570
95	271	2553
96	272	2535
97	273	2516
98	274	2499
99	275	2480
100	276	2464
101	277	2442
102	278	2424
103	279	2406
104	280	2388
105	281	2374
106	283	2363
107	284	2347
108	285	2332
109	286	2317
110	287	2301
111	288	2286
112	289	2270
113	290	2257
114	291	2243
115	292	2227
116	293	2214
117	294	2201
118	295	2186
119	296	2174
120	297	2162
121	298	2151
122	299	2136
123	300	2123
124	301	2110
125	302	2097
126	303	2086
127	304	2072
128	305	2061
129	306	2050
130	307	2040
131	308	2030
132	309	2019
133	310	2008
134	312	1999
135	313	1989
136	314	1979
137	315	1968
138	316	1957
139	317	1948
140	318	1939
141	319	1929
142	320	1920
143	321	1912
144	322	1903
145	323	1894
146	324	1885
147	326	1879
148	327	1872
149	329	1864
150	330	1856
151	331	1847
152	332	1839
153	333	1831
154	334	1822
155	335	1814
156	336	1806
157	337	1798
158	338	1790
159	339	1782
160	340	1775
161	341	1768
162	343	1761
163	344	1754
164	345	1748
165	346	1741
166	347	1734
167	348	1727
168	349	1720
169	351	1713
170	352	1706
171	353	1699
172	354	1693
173	355	1687
174	357	1683
175	358	1677
176	359	1671
177	360	1665
178	361	1658
179	362	1652
180	363	1643
181	364	1636
182	365	1631
183	366	1627
184	368	1622
185	369	1617
186	371	1616
187	373	1611
188	374	1605
189	375	1600
190	376	1595
191	377	1590
192	379	1585
193	380	1579
194	381	1573
195	382	1568
196	383	1562
197	384	1556
198	385	1552
199	386	1547
200	387	1541
201	388	1535
202	389	1530
203	390	1524
204	391	1519
205	392	1514
206	393	1509
207	394	1503
208	395	1498
209	397	1493
210	398	1488
211	399	1483
212	400	1478
213	401	1473
214	402	1468
215	403	1463
216	404	1458
217	405	1453
218	406	1450
219	407	1445
220	408	1441
221	410	1436
222	411	1432
223	411	1427
224	412	1422
225	413	1417
226	415	1413
227	416	1409
228	417	1405
229	418	1400
230	419	1396
231	420	1392
232	421	1389
233	423	1385
234	424	1380
235	425	1376
236	426	1372
237	427	1367
238	428	1363
239	429	1359
240	430	1356
241	432	1354
242	433	1350
243	434	1346
244	436	1343
245	437	1339
246	437	1335
247	439	1331
248	440	1327
249	441	1323
250	442	1319
251	443	1315
252	444	1312
253	445	1309
254	446	1305
255	448	1302
256	449	1298
257	450	1294
258	451	1290
259	452	1286
260	453	1283
261	454	1279
262	455	1275
263	456	1272
264	457	1268
265	458	1265
